,0,1,2,3,4,5,6,7,8,9,10,11
Uber Cut Percentage,0.23949853668955967,0.2564771585030756,0.2964994429947661,0.2488364834950262,0.23014884708355343,0.22593912295444982,0.23218545464553608,0.24171927798837867,0.22554671363700105,0.22608143205265216,0.20509301785134507,0.20217695885044193
Tip Percentage,0.03213834483948565,0.030165087792912656,0.029257805899223048,0.03108452800200267,0.6661729750326608,0.032301745906765454,0.03377371357615921,0.0327453821635331,0.03264227921334043,inf,0.8119946030059733,0.03399131797847685
